Feature,Importance
StudyHours,0.325819794156356
Attendance,0.24425546685303953
Assignments,0.1483574216506483
StressLevel_High,0.06627799736540829
Motivation_High,0.05790314481191968
Age,0.03166347942383721
StressLevel_Low,0.027130889787254475
Motivation_Low,0.023577167559463878
InternetAccess_Yes,0.019244482167267974
InternetAccess_No,0.01813595386392751
Projects_Hackathons_Yes,0.013010112147435594
Projects_Hackathons_No,0.0112313261068004
StressLevel_Medium,0.0068427890764325445
Motivation_Medium,0.006549975030208868
