Age,StudyHours,Attendance,Assignments,InternetAccess,Extracurricular,StressLevel,Motivation,ExamScore
21,1.9,83.6,39.4,Yes,No,Medium,High,87.9
18,5.4,89.8,47.3,Yes,Yes,Low,Low,82.2
19,8.7,62.5,85.5,Yes,No,Medium,High,92.9
21,7.3,81.2,34.0,Yes,Yes,Medium,Medium,80.8
17,8.1,78.6,87.0,Yes,No,Low,Low,95.2
22,6.6,91.6,8.8,Yes,Yes,High,Medium,73.6
19,6.9,95.3,77.7,Yes,Yes,Medium,High,100.0
19,8.5,50.6,84.8,Yes,Yes,High,High,74.4
21,2.5,83.7,18.2,Yes,Yes,Medium,Low,54.6
16,4.9,52.6,43.0,Yes,Yes,Medium,Low,69.3
17,2.2,77.4,16.5,Yes,Yes,Medium,Medium,70.9
21,9.9,64.4,70.7,Yes,Yes,Medium,Medium,95.3
17,9.4,65.3,53.5,Yes,Yes,High,High,98.0
17,0.4,67.6,63.5,Yes,Yes,Low,Low,59.3
22,7.1,81.1,19.6,Yes,Yes,High,High,86.4
19,9.3,66.7,21.2,No,Yes,High,Medium,56.3
18,1.8,86.6,4.1,Yes,Yes,Medium,High,82.8
22,5.7,70.2,32.2,Yes,No,High,Medium,49.6
22,9.2,53.4,56.0,Yes,Yes,Medium,Medium,78.2
17,0.3,89.2,85.8,Yes,No,High,High,72.8
20,7.0,64.3,66.7,Yes,Yes,Medium,Medium,79.5
19,3.0,71.6,43.5,Yes,No,Low,High,76.3
16,9.2,84.3,95.3,No,Yes,High,High,80.5
22,9.7,66.6,71.9,Yes,Yes,Medium,Medium,94.2
18,9.4,52.8,93.0,Yes,Yes,Medium,Medium,78.5
20,4.7,68.7,52.8,Yes,Yes,Medium,Low,71.5
20,8.6,97.2,25.9,Yes,Yes,Low,Low,95.2
16,8.4,82.1,5.3,No,Yes,Medium,Medium,72.9
22,3.2,83.6,72.6,Yes,No,High,Low,59.6
18,8.3,81.6,12.1,Yes,Yes,Low,Medium,88.3
19,0.4,59.9,30.3,Yes,Yes,Low,Medium,53.6
15,6.0,70.9,53.2,Yes,No,Low,Medium,94.4
18,2.3,87.5,56.4,Yes,Yes,Medium,Medium,66.3
16,1.2,55.1,60.1,Yes,No,Medium,Low,52.6
20,0.8,63.9,16.6,Yes,Yes,Medium,Low,54.9
19,7.0,63.8,38.0,Yes,No,High,Medium,72.1
18,3.4,71.6,61.7,Yes,Yes,Medium,Medium,72.2
15,7.2,99.0,97.0,Yes,No,Low,Medium,100.0
15,0.7,53.4,72.8,Yes,No,High,Medium,53.2
17,3.2,75.9,92.3,Yes,Yes,Medium,High,91.9
17,5.4,59.0,76.2,Yes,Yes,Medium,Medium,79.0
21,7.9,98.5,59.2,Yes,Yes,Medium,Medium,75.8
16,3.2,55.7,19.2,Yes,No,High,High,53.5
22,6.3,70.2,66.7,Yes,Yes,Medium,High,90.4
18,8.9,86.9,62.3,No,Yes,Medium,Medium,92.6
18,6.2,85.2,60.2,Yes,Yes,Medium,Medium,92.1
22,2.3,71.1,49.0,Yes,Yes,Low,Low,77.3
21,0.2,67.3,52.9,Yes,Yes,Medium,Medium,63.4
20,8.7,69.9,33.4,Yes,No,Medium,High,76.8
20,0.2,63.2,51.9,Yes,Yes,Low,Medium,71.6
21,8.7,60.3,19.8,No,No,Low,High,78.5
20,5.3,74.2,80.5,Yes,Yes,Low,Medium,88.7
17,9.4,63.4,18.6,No,Yes,Medium,High,73.6
18,8.0,64.4,8.5,Yes,Yes,High,Medium,53.1
21,10.0,82.8,43.6,Yes,Yes,High,Low,73.5
18,3.5,98.4,65.8,Yes,No,Medium,Medium,91.9
22,7.7,80.2,43.8,Yes,No,Medium,Medium,83.2
15,4.0,53.8,27.7,Yes,Yes,High,Low,53.9
17,4.8,53.8,55.8,No,Yes,Low,High,68.9
19,6.3,97.6,34.7,No,Yes,Medium,Medium,76.2
17,8.7,64.9,93.3,No,No,Medium,High,87.3
21,9.8,54.6,92.3,Yes,No,Low,Medium,91.2
19,7.7,80.0,50.2,Yes,No,High,Low,66.8
15,4.2,81.2,32.8,Yes,Yes,High,High,66.4
21,4.2,82.4,73.7,Yes,Yes,Low,Medium,86.9
16,7.4,63.4,3.7,Yes,Yes,Low,Medium,82.2
18,2.4,50.8,47.5,Yes,Yes,Low,Medium,61.9
15,1.1,98.3,33.6,Yes,Yes,Medium,Medium,68.6
18,3.5,62.5,92.1,Yes,Yes,Medium,High,75.8
20,2.9,83.8,1.2,Yes,Yes,Medium,Medium,63.1
16,3.0,85.3,55.3,Yes,No,Low,Medium,79.5
16,2.3,80.5,74.1,Yes,No,High,High,69.1
15,0.4,65.6,48.5,Yes,Yes,Medium,Low,50.4
16,0.2,63.6,8.5,Yes,Yes,Low,Medium,55.4
19,9.9,79.9,97.2,Yes,Yes,Medium,High,100.0
16,4.3,93.3,51.8,Yes,No,Medium,Medium,76.4
18,3.8,97.3,61.4,Yes,No,Medium,High,81.2
18,6.8,55.3,23.7,Yes,No,Low,Medium,63.6
21,2.2,57.7,48.3,Yes,No,Low,High,74.4
18,9.5,97.2,42.9,Yes,Yes,High,High,100.0
21,7.9,86.8,7.5,Yes,Yes,High,Medium,71.9
18,0.9,94.1,10.6,Yes,Yes,Medium,Low,50.4
19,4.2,60.1,83.7,Yes,Yes,Medium,Medium,76.5
22,8.8,79.4,24.0,Yes,No,Medium,High,90.7
21,9.4,85.1,19.5,Yes,Yes,Medium,Medium,79.7
17,4.7,84.0,50.5,Yes,Yes,Medium,Low,57.2
20,6.1,70.4,76.9,Yes,Yes,High,Medium,79.9
15,1.7,50.8,6.2,Yes,No,Medium,High,49.9
18,9.9,79.1,57.7,Yes,Yes,Medium,Medium,82.9
16,2.3,62.7,11.9,Yes,No,Medium,Medium,55.9
22,9.4,72.5,3.6,Yes,Yes,High,Low,67.1
18,6.5,97.9,5.3,No,Yes,Medium,Medium,80.3
16,6.1,70.0,83.4,Yes,Yes,Low,Low,83.5
20,5.1,92.0,11.8,Yes,No,Medium,Low,66.8
20,2.3,59.4,4.5,Yes,Yes,Medium,High,69.5
20,1.8,83.6,43.8,Yes,No,Medium,High,83.1
16,2.2,98.9,84.4,Yes,Yes,Medium,Low,76.9
18,1.9,55.1,26.2,Yes,Yes,High,Low,42.0
20,7.8,50.4,42.2,Yes,No,Medium,Medium,77.6
19,3.5,71.7,4.0,No,Yes,High,Medium,43.6
21,0.6,54.6,44.9,Yes,Yes,Low,Medium,66.3
16,9.7,87.4,57.8,Yes,No,High,Medium,73.0
16,8.8,95.7,57.1,No,Yes,Medium,Medium,90.9
18,9.3,71.7,33.2,Yes,No,Medium,High,89.1
16,9.9,62.9,31.6,Yes,Yes,Medium,High,84.8
16,1.7,71.7,10.7,Yes,Yes,Low,Medium,77.3
20,4.0,86.2,36.7,Yes,Yes,Medium,Medium,77.2
18,7.6,50.5,9.9,Yes,No,Medium,High,78.1
20,7.0,79.5,76.7,No,Yes,Low,High,91.5
21,1.5,80.7,96.6,Yes,No,Medium,Low,67.3
22,8.2,81.9,97.0,Yes,No,Medium,Medium,83.9
21,2.2,62.1,86.5,No,Yes,Low,Medium,64.5
22,2.2,85.7,60.1,Yes,Yes,Low,Low,75.1
20,5.4,54.6,70.1,Yes,Yes,Medium,Medium,75.2
21,5.9,60.0,28.5,Yes,Yes,Medium,Medium,71.1
18,5.8,93.9,63.1,No,Yes,High,Medium,83.3
15,0.9,86.9,45.6,Yes,No,High,Medium,60.9
20,8.8,50.7,48.2,Yes,No,Medium,Medium,74.4
22,2.7,62.4,75.8,Yes,No,Medium,High,94.3
19,1.3,60.7,28.2,Yes,No,Medium,Medium,46.9
22,8.9,63.5,31.8,No,No,Medium,Medium,77.5
19,9.6,62.4,92.5,Yes,Yes,Low,Low,83.4
16,8.6,53.1,5.6,Yes,No,Medium,Low,69.2
21,8.1,72.9,48.6,No,No,Medium,Medium,68.3
19,6.6,86.6,91.3,Yes,Yes,Low,Low,87.6
22,5.5,80.3,61.0,Yes,No,Medium,Low,66.2
16,0.9,83.6,54.6,Yes,Yes,High,Low,59.7
15,4.1,54.1,25.0,Yes,No,Medium,Medium,39.4
18,3.7,97.6,34.3,Yes,No,Medium,High,88.4
18,2.6,91.9,85.2,No,No,High,Medium,58.7
18,7.2,90.3,55.9,Yes,Yes,Medium,Medium,96.7
19,5.0,91.1,51.5,Yes,No,Low,Low,72.8
15,0.8,96.6,10.0,Yes,Yes,Medium,Medium,73.3
19,2.2,77.2,1.6,Yes,Yes,Medium,Medium,70.9
21,6.8,60.0,96.4,Yes,No,Medium,Medium,79.7
19,0.8,80.8,37.7,Yes,Yes,Low,High,77.1
15,8.5,87.1,60.3,No,No,Medium,High,68.7
15,5.0,86.9,8.0,Yes,Yes,High,Low,54.1
21,4.8,76.1,68.3,Yes,Yes,Medium,High,84.7
15,5.9,53.4,93.3,Yes,No,High,Low,67.9
22,8.2,68.6,57.6,No,Yes,Medium,High,76.6
15,3.5,96.0,12.6,Yes,Yes,High,Medium,78.6
18,6.8,79.2,58.2,Yes,No,Low,Medium,85.4
22,5.7,76.9,76.6,Yes,Yes,Medium,Low,59.5
22,2.7,63.4,40.6,No,No,Low,Low,60.4
21,8.8,68.4,88.0,Yes,Yes,Medium,High,84.3
17,8.0,94.8,64.9,Yes,Yes,Medium,High,100.0
17,6.6,83.3,89.9,Yes,Yes,Medium,Medium,87.2
15,8.5,89.4,62.4,Yes,Yes,High,High,89.5
22,8.7,72.7,13.1,Yes,Yes,High,High,76.7
17,7.1,81.5,31.0,Yes,Yes,Low,Medium,89.9
17,8.4,62.4,20.2,Yes,Yes,Medium,Low,64.9
15,7.0,85.3,90.9,No,Yes,Medium,Low,84.7
17,6.8,71.4,76.0,No,Yes,Medium,Medium,86.9
19,6.2,72.1,67.6,Yes,Yes,High,Medium,75.3
16,7.5,82.5,30.1,Yes,Yes,Medium,Low,75.6
21,1.6,96.8,18.4,Yes,No,High,Low,39.0
16,8.8,53.2,75.6,Yes,No,Low,Low,79.9
15,8.7,91.2,47.4,Yes,No,Medium,High,100.0
18,0.3,64.6,22.6,Yes,Yes,Medium,Low,52.1
21,8.3,72.2,61.7,Yes,No,Low,Medium,90.7
15,1.3,51.1,4.0,Yes,No,Medium,Medium,54.0
22,3.4,65.1,32.6,Yes,No,High,Medium,77.8
18,7.4,75.1,46.9,Yes,Yes,Medium,Low,85.7
16,1.6,52.8,14.8,Yes,No,Medium,Medium,55.9
15,8.2,74.6,98.5,Yes,No,Medium,Low,77.4
22,8.3,96.4,20.9,No,No,Low,Medium,88.9
21,5.1,55.3,13.0,Yes,Yes,Low,Low,57.9
21,0.1,88.2,20.4,Yes,Yes,Medium,Medium,68.4
20,2.9,70.5,76.9,Yes,Yes,Low,Medium,82.9
22,6.2,82.8,42.6,Yes,Yes,High,Medium,75.4
19,9.8,63.0,56.5,No,No,Medium,Medium,75.9
17,6.3,58.0,2.1,Yes,Yes,High,Medium,60.9
18,2.6,58.0,3.4,Yes,Yes,Medium,High,60.4
22,6.3,53.5,44.6,Yes,Yes,High,Medium,64.0
20,5.4,59.3,81.7,Yes,Yes,Medium,High,70.3
17,7.8,83.2,88.5,No,Yes,Medium,High,93.4
17,1.1,94.1,8.7,Yes,No,High,Medium,68.8
15,7.6,90.7,53.8,Yes,Yes,Medium,Medium,91.4
17,5.4,84.3,91.3,Yes,Yes,Low,Medium,87.4
19,9.6,55.5,38.8,Yes,Yes,Medium,Low,74.2
21,3.4,64.5,83.0,Yes,Yes,High,Low,63.9
20,6.3,65.5,13.4,Yes,Yes,Medium,Low,65.1
17,9.3,62.5,93.5,Yes,No,Medium,Low,89.6
15,1.0,75.8,75.1,Yes,No,Medium,Medium,64.1
19,9.4,76.8,94.1,No,No,High,High,93.1
16,6.9,67.8,67.7,Yes,No,Low,Medium,76.8
21,0.7,67.7,36.3,Yes,Yes,Medium,High,66.2
21,3.0,91.4,93.8,Yes,No,Low,High,95.9
20,7.1,89.5,27.6,Yes,No,Medium,High,91.7
21,0.7,65.4,33.2,Yes,No,Medium,High,66.3
17,5.8,95.7,70.1,Yes,Yes,Low,Medium,84.1
15,3.5,97.6,76.5,Yes,No,Low,Low,82.5
21,6.2,66.3,92.9,Yes,No,Medium,Medium,84.5
21,0.5,67.7,20.5,Yes,No,Low,Medium,63.4
16,8.7,75.3,79.8,Yes,Yes,Low,High,100.0
16,9.7,97.1,73.9,Yes,No,High,High,100.0
18,9.7,93.8,6.4,Yes,No,Medium,Medium,98.5
19,7.5,55.1,38.7,No,No,Medium,Medium,56.4
17,1.3,69.6,28.3,No,Yes,High,Low,49.0
21,7.6,77.7,30.4,Yes,No,Low,Low,75.6
22,0.2,75.2,98.3,Yes,Yes,Medium,Medium,81.9
21,0.2,59.7,64.3,Yes,Yes,Medium,Medium,56.9
15,3.2,92.9,71.8,Yes,Yes,Medium,High,97.6
18,4.9,83.8,97.7,No,No,High,Medium,59.4
19,7.7,91.9,37.7,Yes,Yes,High,High,84.5
22,6.8,92.9,80.2,Yes,Yes,Medium,Medium,95.1
18,4.5,87.4,43.5,Yes,No,Low,High,78.4
20,2.7,72.0,87.0,Yes,No,Low,Low,83.9
19,10.0,80.5,18.1,Yes,Yes,Medium,High,88.7
21,4.3,58.0,94.8,Yes,No,Low,Medium,76.7
21,4.5,83.7,21.9,Yes,No,Medium,Low,57.2
19,1.6,59.0,32.6,Yes,Yes,Medium,Low,69.5
21,7.9,84.7,75.6,Yes,Yes,Low,High,90.6
17,6.9,61.5,39.4,Yes,Yes,High,Low,65.0
19,2.2,55.9,60.8,Yes,Yes,Low,Medium,69.9
18,0.8,58.3,44.5,Yes,Yes,Medium,Medium,53.9
19,6.8,50.1,74.2,Yes,No,Medium,Medium,72.5
22,6.5,85.9,22.8,No,No,Medium,High,83.1
21,2.7,86.6,5.8,No,Yes,Medium,Medium,64.2
17,9.5,75.7,30.0,No,Yes,Low,Medium,70.9
17,1.5,58.1,47.4,Yes,Yes,Medium,High,71.0
20,4.3,54.2,16.8,Yes,Yes,Medium,High,71.1
18,9.4,51.0,35.5,Yes,Yes,High,High,63.3
16,4.2,58.3,40.0,No,No,Medium,Medium,66.9
16,6.4,94.5,5.7,No,No,Medium,Medium,74.1
19,4.0,62.1,58.3,No,Yes,Medium,Medium,64.0
20,2.7,67.7,88.4,Yes,No,High,High,64.9
15,9.8,55.3,15.2,No,Yes,Low,Low,70.9
19,4.1,61.1,59.8,Yes,No,Medium,Medium,66.3
20,8.9,76.0,66.5,Yes,Yes,Medium,Low,80.8
18,2.3,80.4,41.9,Yes,Yes,Medium,Medium,76.3
18,2.1,62.3,70.1,Yes,No,Low,High,84.8
18,0.3,52.9,41.1,Yes,Yes,Medium,Low,47.5
18,6.5,69.6,50.5,Yes,No,Low,Medium,91.0
